Laufnummer;Kategorie Bezeichnung;Wochentag;Übertretungs-Wochentagnummer;Übertretungs-Wochentag;Übertretungsmonat;Übertretungsjahr;Geschwindigkeitslimite;Übertretungs-PLZ;Übertretungsort;Bussenbetrag;Bussenziffer;Bussenziffer Zusatz;Bussenziffer Text
1761051;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1763333;Personenwagen;3 Dienstag;3;Dienstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1763338;Personenwagen;3 Dienstag;3;Dienstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1765239;Personenwagen;7 Samstag;7;Samstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1765241;Personenwagen;7 Samstag;7;Samstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1767024;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1767027;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1767031;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1768178;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1752661;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1752668;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1754755;Personenwagen;3 Dienstag;3;Dienstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1755773;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1755774;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1756424;Personenwagen;5 Donnerstag;5;Donnerstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1757226;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1757231;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1757235;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1770512;Personenwagen;3 Dienstag;3;Dienstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1771611;Personenwagen;5 Donnerstag;5;Donnerstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1771613;Personenwagen;5 Donnerstag;5;Donnerstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1771616;Personenwagen;5 Donnerstag;5;Donnerstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1772109;Personenwagen;6 Freitag;6;Freitag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1772525;Personenwagen;7 Samstag;7;Samstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1775999;Personenwagen;7 Samstag;7;Samstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1777236;Personenwagen;4 Mittwoch;4;Mittwoch;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1777237;Personenwagen;4 Mittwoch;4;Mittwoch;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1777907;Personenwagen;5 Donnerstag;5;Donnerstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
